Symbol,Bull_Pct,Bear_Pct,Observations
ONGC,36.72363484785327,63.27636515214673,2399
COALINDIA,36.89037098791163,63.10962901208837,2399
GAIL,38.39099624843685,61.60900375156315,2399
NTPC,39.34972905377241,60.65027094622759,2399
VEDL,41.14214255939975,58.85785744060025,2399
IOC,42.26761150479366,57.73238849520634,2399
WIPRO,43.51813255523135,56.48186744476865,2399
INFY,43.89328887036265,56.10671112963735,2399
TATASTEEL,44.14339308045019,55.85660691954981,2399
HINDALCO,45.518966235931636,54.481033764068364,2399
TATAMOTORS,46.47769904126719,53.52230095873281,2399
BPCL,48.06169237182159,51.93830762817841,2399
SBIN,49.270529387244686,50.729470612755314,2399
LT,49.68736973739058,50.31263026260942,2399
GRASIM,50.896206752813676,49.103793247186324,2399
M&M,51.271363067944975,48.728636932055025,2399
AXISBANK,51.5631513130471,48.4368486869529,2399
HEROMOTOCO,52.06335973322218,47.93664026677782,2399
SUNPHARMA,52.27177990829512,47.72822009170488,2399
JSWSTEEL,54.64776990412672,45.35223009587328,2399
ITC,54.81450604418508,45.18549395581492,2399
BHARTIARTL,56.44018340975406,43.55981659024594,2399
POWERGRID,56.77365568987078,43.22634431012922,2399
UPL,58.607753230512714,41.392246769487286,2399
CIPLA,58.98290954564402,41.01709045435598,2399
ICICIBANK,59.94164235097958,40.05835764902042,2399
ADANIPORTS,61.98416006669446,38.01583993330554,2399
TECHM,63.60983743226344,36.39016256773656,2399
ZEEL,64.9854105877449,35.014589412255106,2399
RELIANCE,65.3188828678616,34.68111713213839,2399
TITAN,66.27761567319716,33.72238432680283,2399
DRREDDY,67.27803251354732,32.72196748645269,2399
BAJAJ-AUTO,67.40308461859108,32.59691538140892,2399
HCLTECH,68.02834514380991,31.971654856190078,2399
EICHERMOT,69.11213005418925,30.887869945810756,2399
TCS,69.19549812421842,30.804501875781575,2399
MARUTI,69.77907461442268,30.220925385577324,2399
INDUSINDBK,70.02917882451021,29.97082117548979,2399
ULTRACEMCO,70.94622759483119,29.05377240516882,2399
HDFC,72.32180075031263,27.67819924968737,2399
HDFCBANK,73.86411004585244,26.13588995414756,2399
BRITANNIA,74.73947478115882,25.260525218841185,2399
NESTLEIND,75.07294706127553,24.92705293872447,2399
ASIANPAINT,77.44893705710713,22.551062942892873,2399
SHREECEM,77.69904126719466,22.300958732805334,2399
KOTAKBANK,77.74072530220926,22.259274697790747,2399
BAJAJFINSV,78.57440600250104,21.425593997498957,2399
HINDUNILVR,78.94956231763234,21.050437682367654,2399
BAJFINANCE,79.78324301792414,20.216756982075864,2399
