Annualized_Return_Rank,Symbol,Sector,Annualized_Return,Annualized_Volatility,Sharpe_Ratio_RF0,Maximum_Drawdown,Historical_VaR_95_Loss,Beta,Return_Observations,Start_Date,End_Date
1,BAJFINANCE,Financial Services,0.5925569266443369,0.37686072092549816,1.5723499259597284,-0.625239475868004,0.03279313006280119,1.1621084962493213,2398,2011-08-22,2021-04-30
2,BAJAJFINSV,Financial Services,0.38517934457084135,0.35002642753452756,1.1004293226769175,-0.5858958485989331,0.030365002264226115,1.061428333094951,2399,2011-08-22,2021-04-30
3,EICHERMOT,Automobile and Auto Components,0.3541970218992214,0.33407718889521226,1.0602251026792493,-0.6141418875021112,0.02989996428237174,0.857760636573552,2398,2011-08-22,2021-04-30
4,SHREECEM,Construction Materials,0.34556967411301587,0.29601844987674153,1.1673923509055157,-0.3689685639695037,0.026661897487845965,0.7819115857276222,2399,2011-08-22,2021-04-30
5,BRITANNIA,Fast Moving Consumer Goods,0.3265499558003493,0.2675959233472005,1.2203099050079962,-0.3908655925395823,0.022420809512785838,0.5958342568510436,2398,2011-08-22,2021-04-30
6,JSWSTEEL,Metals & Mining,0.2850031175911767,0.3825916914936008,0.7449276184711493,-0.662630380050354,0.03613514355494464,1.3387598081061811,2398,2011-08-22,2021-04-30
7,HCLTECH,Information Technology,0.26598434567997775,0.28885673169496073,0.9208175420362481,-0.3472211051234616,0.026637957043211456,0.6575490894775795,2397,2011-08-22,2021-04-30
8,KOTAKBANK,Financial Services,0.24643137591570308,0.2870576881572717,0.858473352508467,-0.3649898814686324,0.02672054320057759,1.075437657868558,2398,2011-08-22,2021-04-30
9,ASIANPAINT,Consumer Durables,0.24431198675664856,0.26330312822165547,0.9278734681457348,-0.28855005753739915,0.02387405410637029,0.7435881969559353,2398,2011-08-22,2021-04-30
10,TITAN,Consumer Durables,0.23702284014076103,0.34385872252450034,0.6893029742000303,-0.4173002073405837,0.029899003206282793,0.9014276473485916,2399,2011-08-22,2021-04-30
