Window,Window_Start,Window_End,Policy_Announcement_Date,Market_Response_Day_Zero,Analysis_Level,Entity,Sector,Event_Observations,Event_Cumulative_Return,Event_Mean_Daily_Return,Event_Daily_Volatility,Event_Mean_Abnormal_Return,Event_Cumulative_Abnormal_Return,Baseline_Observations,Baseline_Cumulative_Return,Baseline_Mean_Daily_Return,Baseline_Daily_Volatility,Baseline_Mean_Abnormal_Return,Baseline_Cumulative_Abnormal_Return,Volatility_Change
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,HCLTECH,Information Technology,11,-0.016496312588951012,-0.0012798505668004869,0.022600641768566052,0.0045827134898394776,0.05040984838823426,247,-0.013032305433185676,5.159048667733645e-05,0.014461377369816458,-0.00023915812988371086,-0.05907205808127658,0.008139264398749594
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,HDFC,Financial Services,11,-0.11783799040361276,-0.011165361764281612,0.01912463924608876,-0.005302797707641648,-0.058330774784058126,247,0.09882969979255618,0.0004862691831129607,0.014480443491111392,0.00019552056655191343,0.04829357993832262,0.004644195754977367
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,HDFCBANK,Financial Services,11,-0.023495792983013186,-0.0021051341187368774,0.010918498584007308,0.0037574299379030877,0.04133172931693396,247,0.17729257641921525,0.0007049543847004841,0.009395123707640684,0.00041420576813943683,0.1023088247304409,0.0015233748763666243
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,HEROMOTOCO,Automobile and Auto Components,11,-0.1468013767728915,-0.014064641378478536,0.023949579566996993,-0.00820207732183857,-0.09022285054022428,247,0.36739151825248406,0.0013802410621679049,0.015123100860429685,0.0010894924456068577,0.2691046340648938,0.008826478706567309
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,HINDALCO,Metals & Mining,11,0.0723160242115326,0.007072747221926836,0.0398632724794982,0.012935311278566801,0.1422884240642348,247,0.9291819291819299,0.0030511399798377756,0.027944341188584007,0.0027603913632767286,0.6818166667293519,0.011918931290914196
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,HINDUNILVR,Fast Moving Consumer Goods,11,-0.028255013469021373,-0.0025433202700883913,0.011348810472071936,0.0033192437865515734,0.03651168165206731,247,0.06520551271932495,0.00034027491904674653,0.013045493327445559,4.952630248569925e-05,0.012232996713967714,-0.0016966828553736223
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,ICICIBANK,Financial Services,11,-0.02796440893408414,-0.0022562823769703474,0.026395327940171676,0.0036062816796696177,0.039669098476365794,247,-0.11448763250883365,-0.000263491155977598,0.021479489561291785,-0.0005542397725386454,-0.1368972238170454,0.0049158383788798915
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,INDUSINDBK,Financial Services,11,-0.09380275890467382,-0.008581122386456686,0.026437039522622798,-0.0027185583298167215,-0.029904141627983938,247,0.2873411715084109,0.001114307386871299,0.013550180508216002,0.0008235587703102517,0.20341901626663217,0.012886859014406796
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,INFY,Information Technology,11,-0.06028601748446105,-0.005550375056449023,0.013760058590971184,0.00031218900019094127,0.003434079002100354,247,-0.10646840804800439,-0.0003388567018986953,0.015264118771214275,-0.0006296053184597426,-0.15551251365955643,-0.001504060180243091
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,IOC,Oil Gas & Consumable Fuels,11,-0.09749346455482077,-0.008845382787386709,0.030556141836884463,-0.0029828187307467443,-0.032811006038214185,247,0.6107062075898475,0.00208213537234214,0.017453091255521566,0.0017913867557810925,0.44247252867792985,0.013103050581362897
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,ITC,Fast Moving Consumer Goods,11,-0.035215669931235705,-0.002993880423181999,0.023928193758667102,0.002868683633457966,0.031555519968037626,246,0.004572055079660631,0.00015051548224037376,0.016335689448681818,-0.00012150111255459158,-0.02988927368842953,0.007592504309985284
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,JSWSTEEL,Metals & Mining,11,-0.005021348247038926,-0.00020532751658637732,0.023684288670326705,0.005657236540053587,0.06222960194058946,247,0.9366154854925965,0.0028284298823737456,0.017319755897877192,0.002537681265812698,0.6268072726557364,0.006364532772449513
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,KOTAKBANK,Financial Services,11,-0.036372664639066854,-0.0032723516045631436,0.014009001708369252,0.0025902124520768214,0.028492336972845034,247,0.1849356548069645,0.00077333449474716,0.013140085358040463,0.00048258587818611275,0.11919871191196985,0.0008689163503287894
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,LT,Construction,11,-0.06298055565048022,-0.0058510746784346986,0.009968409854003315,1.1489378205265975e-05,0.00012638316025792573,247,-0.056837675999351744,-5.477768699056251e-05,0.019353318222337414,-0.0003455263035516098,-0.08534499697724762,-0.009384908368334098
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,M&M,Automobile and Auto Components,11,-0.0804463376936706,-0.007315217285571072,0.02456405232869328,-0.001452653228931107,-0.015979185518242178,247,0.06689443646387194,0.0003827901812813668,0.015590431799151643,9.20415647203195e-05,0.02273426648591892,0.008973620529541638
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,MARUTI,Automobile and Auto Components,11,-0.16205066262908097,-0.01567059096073545,0.024319190368796494,-0.009808026904095485,-0.10788829594505034,247,0.3022797571313991,0.001215231107503589,0.01713305847974167,0.0009244824909425416,0.2283471752628078,0.007186131889054825
